institution,position,address,url,year
" U of Illinois, Urbana-Champaign",Associate Professor or Professor in Writing Studies  [17994] ,"English, 608 S Wright St, Urbana, IL 61801",http://www.english.illinois.edu/,2012-2013
U of Maryland ,"English, 2119 Tawes Hall, College Park, MD 20742","English, 2119 Tawes Hall, College Park, MD 20742",http://www.english.umd.edu,2012-2013
 U of Mississippi,Instructor of Composition and Rhetoric  [17965] ,"Writing & Rhetoric Ctr, PO Box 1848 100 Somerville Hall, University, MS 38677",http://jobs.olemiss.edu,2012-2013
"U of Wisconsin, Stevens Point",Assistant Professor (Creative Writing/Fiction)  [18000] ,"English, 1801 Fourth Av 486 CCC, Stevens Point, WI 54481",http://www.uwsp.edu/english/Pages/default.aspx,2012-2013
"U of Wisconsin, Stevens Point",Assistant Professor (Professional Writing/Editing & Publishing/Book History)  [18001] ,"English, 1801 Fourth Av 486 CCC, Stevens Point, WI 54481",http://www.uswp.edu/english/Pages/default.aspx,2012-2013
Cottey College,Assistant Professor of English  [18072] ,"English, 1000 W Austin, Nevada, MO 64772",http://www.cottey.edu,2012-2013
Lewis University,Assistant Professor of English  [18033] ,"English & For Lang Prog, One University Pky, Romeoville, IL 60446",http://www.lewisu.edu,2012-2013
Massachusetts Inst of Tech,"Director , Writing Across the Curriculum, MIT  [18056] ","Writing & Hum Studies, 77 Massachusetts Av Rm 14E-303, Cambridge, MA 02139",http://web.mit.edu,2012-2013
U of Louisville,Director of Composition  [17787] ,"English, S 3rd St 315 Bingham Humanities Bldg, Louisville, KY 40292",http://www.louisville.edu/jobs,2012-2013
"U of North Carolina, Charlotte",Director of First Year Writing  [18080] ,"English, 9201 University City Blvd, Charlotte, NC 28223",http://english.uncc.edu/,2012-2013
 U of South Florida,Associate or Full Professor  [18088] ,"English, 4202 E Fowler Av, CPR 107, Tampa, FL 33620",http://english.usf.edu,2012-2013
" U of Washington, Tacoma",Assistant Professor of Technical/Professional Communications  [18087] ,"Interdisciplinary A&S, 1900 Commerce Box 358436, Tacoma, WA 98402",http://www.tacoma.uw.edu/,2012-2013
U of West Georgia,Assistant Professor of English (Rhetoric and Composition)  [18034] ,"English, 1601 Maple St, Carrollton, GA 30118",http://www.westga.edu/english/,2012-2013
West Chester U,Assistant Professor of African American Literature and/or Composition/Rhetoric  [18027] ,"English, 720 S High St Main Hall 532, West Chester, PA 19383",http://www.wcupa.edu/_academics/sch_cas.eng/,2012-2013
 Westminster C,Assistant Professor in Fiction Writing  [18075] ,"English, Salt Lake City, UT 84105",http://jobs.westminstercollege.edu,2012-2013
American University of Beirut,Assistant Professor in Rhetoric/Composition  [18139] ,"Beirut, Lebanon",http://www.aub.edu.lb/fas,2012-2013
Armstrong Atlantic State University,Assistant Professor of English in Rhetoric and Composition  [18113] ,"Langs, Lit, & Philos, 11935 Abercorn St, Savannah, GA 31419",http://armstrong.edu,2012-2013
Cornell University,Doctoral/Postdoctoral Diversity Fellowship  [18109] ,"English, East Av, 250 Goldwin Smith Hall, Ithaca, NY 14853",http://www.arts.cornell.edu/english/,2012-2013
Embry-Riddle Aeronautical U,Assistant Professor Tenure Track  [18104] ,"Humanities & Social Sciences, 600 S Clyde Morris Blvd, Daytona Beach, FL 32114",http://www.erau.edu/administration/hr.html,2012-2013
Grand View University,Assistant Professor of English - Fall 2013-14  [18125] ,"English, 1200 Grandview Av, Des Moines, IA 50316",http://grandview.hrmdirect.com/employment/job-opening.php?re,2012-2013
 Indiana U East,Assistant or Associate Professor in Rhetoric and Composition and Writing Program Director  [18128] ,"English, 2325 Chester Blvd, Richmond, IN 47374",http://www.iue.edu/hr/apply,2012-2013
