Institution,Position,Address,URL,
 Western Oregon U,Assistant Professor of Digital Writing  [18387] ,"Humanities, 345 N Monmouth Av, Monmouth, OR 97361",http://www.wou.edu/las/humanities/english/,
Western Oregon U,Non-Tenure Track Instructor of English  [18388] ,"Humanities, 345 N Monmouth Av, Monmouth, OR 97361",http://www.wou.edu/las/humanities/english/,
Central Washington University,"Assistant Professor, Professional and Technical Writing  [18424] ","English, 400 E University Way, Ellensburg, WA 98926",http://jobs.cwu.edu/postings/1472,
Concordia College ,Assistant Professor(s) of English  [18423] ,"English, 901 8th St S, Moorhead, MN 56562",http://www.cord.edu/hr,
Fort Hays SU,Tenure-Track Assistant Professor of English  [18437] ,"English, 600 Park St, Hays, KS 67601",http://www.fhsu.edu/positions,
Michigan State University,Assistant Professor in Cultural Rhetorics & Digital Humanities  [18441] ,"Dean''s Office in the College of Arts and Letters, 319 Linton Hall, East Lansing, MI 48824",http://www.Click2Apply.net/mb4q83s,
New York University,FULL-TIME CLINICAL ASSISTANT PROFESSOR IN FIRST-YEAR PROGRAM (SCIENCE WRITING)  [18421] ,"Gallatin School of Individualized Study, 715 Broadway, New York, NY 10003",http://www.nyuopsearch.com/applicants/Central?quickFind=51486,
Pace University,Assistant Professor of Rhetoric and Composition  [18431] ,"English, 861 Bedford Rd, Pleasantville, NY 10570",http://www.pace.edu,
" U of Maine, Augusta",English/Writing Lab Coordinator  [18425] ,"Humanities Div, 46 University Dr, Augusta, ME 04330",http://www.uma.maine.edu/office-of-human-resources/employment-opportunities/,
United States Military Academy,Assistant Professor (English)  [18428] ,"English & Philos, 607 Cullum Rd, West Point, NY 10996",http://www.usma.edu,
California Baptist University,Open-Rank Professor of English/Creative Writing  [18459] ,"Mod Langs & Lit, 8432 Magnolia Av, Riverside, CA 92504",http://www.calbaptist.edu/faculty,
Colgate U,Visiting Assistant Professor of Writing & Rhetoric  [18466] ,"Writing and Rhetoric, 13 Oak Drive, Hamilton, NY 13346",http://www.colgate.edu,
 Southern Connecticut SU,Assistant or Associate Professor of Composition  [18470],"English, 501 Crescent St, New Haven, CT 06515",http://www.southernct.edu/employment/Job_Openings/,
Southern Polytechnic SU,"Assistant Professor, English  [18488] ","English, Tech Communication, & Media Arts, 1100 S Marietta Pky, Marietta, GA 30060",http://etcma.spsu.edu,
"U of Colorado, Colorado Springs","Writing Center Director, Ph.D. Required  [18477] ","English, 1420 Austin Bluffs Pky, Colorado Springs, CO 80918",http://www.uccs.edu,
Youngstown SU,"Asst. Professor, English (Rhetoric/Composition)  [18484] ","English, 1 University Plz, Youngstown, OH 44555",http://www.Click2Apply.net/mdwry8g,
Pace University,Assistant Professor - Writing Program Director  [18521] ,"English, 861 Bedford Rd, Pleasantville, NY 10570",http://www.pace.edu,
Saginaw Valley SU,Assistant Professor of English-Composition  [18491] ,"English, 7400 Bay Rd, University Center, MI 48710",http://www.jobs.svsu.edu,
"U of Massachusetts, Dartmouth","Assistant Professor, English/Writing in the Disciplines & Writing Center Faculty Coordinator  [18516] ","English, 285 Old Westport Rd, North Dartmouth, MA 02747",https://secure.interfolio.com/apply/20896,
"California SU, Northridge",Assistant Professor  [18558] ,"English, 18111 Nordhoff St Sierra Tower Rm 702, Northridge, CA 91330",http://www.csun.edu/english/,
Dominican U,"Lecturer, English  [18547] ","English, 7900 W Division St, River Forest, IL 60305",http://www.dom.edu,
 Frostburg SU,Instructor/Assistant Professor of English  [18529] ,"English, 101 Braddock Rd, Frostburg, MD 21532",http://www.frostburg.edu,
Millikin U,Assistant or Associate Professor in Writing and Rhetoric  [18523] ,"English, 1184 W Main St, Decatur, IL 62522",http://millikin.edu/english,
"New York City C of Tech, CUNY",Assistant Professor of English  [18532] ,"English, 300 Jay St, Brooklyn, NY 11201",http://www.citytech.cuny.edu,
Illinois Central C,Tenure Track Faculty - Basic Writing and College Composition  [18572] ,"English, 1 College Dr Rm 315B, East Peoria, IL 61635",http://www.icc.edu/jobs,
 Palomar C,"Assistant Professor, English  [18563] ","English, 1140 W Mission Rd, San Marcos, CA 92069",http://apptrkr.com/305796,
 U of Wisconsin Cs,Assistant Professor of English  [18567] ,"English, 1500 N University Dr, Waukesha, WI 53188",http://uwc.edu/depts/english,
Georgia Inst of Tech,Marion L. Brittain Postdoctoral Fellowship  [18533] ,"Lit, Media, & Communication, 686 Cherry St, 336 Skiles Bldg, Atlanta, GA 30332",http://www.lmc.gatech.edu/writingcomm/brittain/application.php,
Kean University,"Business and Professional Writing, Assistant Professor (Two Positions)--Wenzhou, China  [18600] ","Wenzhou, China",http://www.kean.edu/KU/Wenzhou-Kean-University-Positions,
Kean University,"Writing and Language Development, Lecturer (Ten Positions)--Wenzhou, China  [18601] ","Wenzhou, China",http://www.kean.edu/KU/Wenzhou-Kean-University-Positions,
Maryland Inst C of Art,"ESL (Humanistic Studies), Full-time Faculty  [18602] ","Human Resources, 1300 West Mount Royal Ave, Baltimore, MD 21217",http://www.mica.edu/About_MICA/Departments_and_Services/Human_Resources/Careers_at_MICA/Faculty_Positions.html,
Monroe Comm C,"English, Faculty Member, Full Time Tenure-Track, Fall ''13  [18624]","English & Philos, 1000 E Henrietta Rd, Rochester, NY 14623",http://jobs.monroecc.edu/postings/1656,First job of 2013
Georgia Regents U,English Studies Lecturer  [18661] ,"English & For Langs, 2500 Walton Way, Augusta, GA 30904",http://www.gru.edu,
Kent State University,Assistant Professor of LRSP (Tenure-Track)  [18639] ,"English, PO Box 5190, 113 Satterfield Hall, Kent, OH 44242",http://www.kent.edu/english,
Lamar University,Assistant Professor - English & Modern Language 498909  [18646] ,"English & Mod Langs, PO Box 10023, Beaumont, TX 77710",http://apptrkr.com/310579,
Manhattan College,Two Full-time Visiting Positions in Teaching Writing  [18649] ,"English, 4513 Manhattan College Pky, Bronx, NY 10471",http://www.manhattan.edu,
Molloy College,Assistant Professor of English  [18611] ,"English, PO Box 5002, 1000 Hempstead Av, Rockville Centre, NY 11571",http://www.molloy.edu,
" SU of New York, U at Albany",Director of Undergraduate Writing  [18645] ,"Office of the Vice Provost for Undergraduate Education, Lecture Center 30 1400 Washington Ave, Albany, NY 12222",http://albany.interviewexchange.com/jobofferdetails.jsp?JOBID=36920,
"U of Massachusetts, Dartmouth",Full Time Lecturer English  [18648] ,"English, 285 Old Westport Rd, North Dartmouth, MA 02747 ",https://secure.interfolio.com/apply/21096,
"U of Wisconsin, Platteville",Director of First-Year Composition  [18660] ,"Humanities, 1 University Plaza, Platteville, WI 53818",http://www.uwplatt.edu,
"U of Wisconsin, Platteville",Assistant Professor Multi-Ethnic American Literature  [18663] ,"Humanities, 1 University Plaza, Platteville, WI 53818",http://www.uwplatt.edu,
Goshen College,Visiting Assistant Professor of English  [18689],"English, 1700 S Main St, Goshen, IN 46526",http://www.goshen.edu/employment,
Unoversity of Alabama,Assistant Professor in the Clinical/Lecturer Faculty Track  [18695] ,"English, Box 870244, Tuscaloosa, AL 35487",http://www.english.ua.edu/,
U of Michigan,Lecturer III  [18688] ,"Sweetland Center for Writing, 1310 North Quad, 105 S. State St., Ann Arbor, MI 48109",http://www.lsa.umich.edu/sweetland,
 Washington & Lee U,Visiting Assistant Professor/Instructor in Professional Communication  [18684] ,"Williams School of Commerce, Economics & Politics, 204 West Washington St., Lexington, VA 24450",http://williams.wlu.edu,
 Azusa Pacific U,Assistant or Associate Professor  [18709] ,"English, 901 E Alosta Av, Azusa, CA 91702",http://www.apu.edu/cp/employment/,
City U of Hong Kong,Associate Professor/Assistant Professor  [18700] ,"English, Kowloon Tong, Kowloon, Hong Kong",http://www.cityu.edu.hk,
 George Washington U,Assistant Professor of Writing  [18711] ,"University Writing Prog, 801 22nd St NW, 553 Rome Hall, Washington, DC 20052",http://www.gwu.edu,
Inst Universitaire de Tech de Dijon,Lecteur Université de Bourgogne  [18714] ,"Computer Science, Business Studies & IT, bld Docteur Petitjean B.P. 17867, 21075 Dijon France ",http://iut-dijon.u-bourgogne.fr,
West Texas A&M U,Writing Instructor  [18705] ,"English, Philos, & Mod Langs, PO Box 60908, Canyon, TX 79016",http://www.wtamu.edu,
"Columbia C, Chicago","Full Time Lecturer - First Year Writing, English  [18723] ","English, 600 S Michigan Av, Chicago, IL 60605",https://employment.colum.edu,
East Tennessee SU,Post-Doctoral Fellowship in English  [18731] ,"Lit & Lang, PO Box 70683, Johnson City, TN 37614",http://www.etsu.edu,
Massachusetts Inst of Tech,"Associate Director, Writing Across the Curriculum  [18717] ","Writing & Hum Studies, 77 Massachusetts Av Rm 14E-303, Cambridge, MA 02139",https://academicjobsonline.org/ajo/jobs/2533,
Massachusetts Inst of Tech,"Lecturer I, Writing Across the Curriculum  [18718] ","Writing & Hum Studies, 77 Massachusetts Av Rm 14E-303, Cambridge, MA 02139",https://academicjobsonline.org/ajo/jobs/2534,
Morgan State University,Assistant/Associate/Professor of English  [18741] ,"English, 1700 E Cold Spring Ln, 202 Holmes Hall, Baltimore, MD 21251",http://www.morgan.edu,
U of Georgia,Lecturer in English  [18730] ,"English, 252 Park Hall, Athens, GA 30602  ",https://secure.interfolio.com/apply/21212,
"U of Tennessee, Knoxville",Lecturer in English  [18739] ,"English, 301 McClung Tower, Knoxville, TN 37996",http://www.utk.edu,
Westminster C,Assistant Professor of English  [18738] ,"English, 501 Westminster Av, Fulton, MO 65251",http://www.westminster-mo.edu,
Portland State University,"Assistant Professor, Rhetoric and Composition Studies  [18743] ","English, PO Box 751, Portland, OR 97207",http://www.pdx.edu/,
 Newberry C,"Chair, Department of Humanities  [18776] ","English, Lit, & Langs, 2100 College St, Newberry, SC 29108",http://www.newberry.edu,
Tulane University,Post-Doctoral Teaching Fellow  [18789] ,"English, 6823 St Charles Av, New Orleans, LA 70118",http://tulane.edu/liberal-arts/english/index.cfm,
 U of Alabama,Full-time Instructor Position  [18771],"English, Box 870244, Tuscaloosa, AL 35487",http://www.as.ua.edu/english/,
 Westminster C,Post-Doctoral Teaching Fellow in English  [18777] ,"English, Salt Lake City, UT 84105",http://www.westminstercollege.edu,
Morgan State University,Assistant/Associate/Professor of English  [18810] ,"English, 1700 E Cold Spring Ln, 202 Holmes Hall, Baltimore, MD 21251",http://www.morgan.edu,
Scripps College ,PART-TIME LECTURERS IN WRITING FALL SEMESTER 2013  [18806] ,"English, 1030 Columbia Av, Claremont, CA 91711",http://www.scrippscollege.edu/academics/department/writing/index.php,
Virginia Commonwealth U,Core Curriculum Instructor  [18813] ,"Ofc of the Vice Provost for Instruction & Student Success, 1015 Floyd Ave Room 5128, Richmond, VA 23284",http://www.vcu.edu/uc,
Central College,Director of the Writing Center  [18825],"English, 812 University, Pella, IA ",http://www.central.edu/jobseekers/,
 Central Connecticut SU,"Assistant Professor, Developmental Writing  [18822] ","English, Willard Hall 304 1615 Stanley St, New Britain, CT 06050",http://www.ccsu.edu,
Harper College ,English Faculty  [18836] ,"English & Lit, 1200 W Algonquin Rd, Palatine, IL 60067",http://jobs.harpercollege.edu/applicants/Central?quickFind=175106,
Hobart & William Smith Colleges,Assistant Professor of Writing and Rhetoric  [18830] ,"Writing & Rhetoric, Smith Hall 214, Geneva, NY 14456",http://www.hws.edu/offices/hr/employment/fac_2013_WandR_OneYear.aspx        ,
Lane Comm C,"Writing Specialists (2), English Department  [18832] ","Lang, Lit & Communication Studies, 4000 E 30 Av, Eugene, OR 97405",http://lanecc.edu/llc/english,
Penn State U,Visiting Assistant Professor of Business Writing  [18827] ,"English, 105 Burrowes Bldg, University Park, PA 16802",http://english.la.psu.edu,
Christian Brothers U,"Assistant Professor of English, Rhetoric and Composition, or Communications  [18851] ","Lit & Lang, 650 E Parkway S, Memphis, TN 38104",http://www.cbu.edu,
 City U of Hong Kong,Graduate Teaching Assistants for Freshman English support at City University campus  [18855] ,"English, Kowloon Tong, Kowloon Hong Kong",https://secure.interfolio.com/apply/21386,
 Lone Star College System,"Faculty, Transitional Studies English (#9576) CF Cypress Center  [18871] ","Employment & Recruiting, 5000 Research Forest Drive, The Woodlands, TX 77381",http://lonestar.edu,
Bemidji SU,Assistant or Associate Professor of English  [18875] ,"English, 1500 Birchmont Dr NE #23, Bemidji, MN 56601",http://agency.governmentjobs.com/bemidji/default.cfm,
 Haverford C,Haverford College Writing Fellows  [18884] ,"English, 370 Lancaster Av, Haverford, PA 19041",http://secure.interfolio.com/apply/21441,
"U of South Carolina, Beaufort","Visiting Assistant Professor, Composition & Rhetoric  [18890] ","English & Theatre, One University Blvd, Bluffton, SC 29909",http://www.uscb.edu/employment,
 Western Oregon U,"Instructor, Writing and ESL  [18881] ","Humanities, 345 N Monmouth Av, Monmouth, OR 97361",http://www.wou.edu,
The Juilliard School,Assistant Professor of ESL and Liberal Arts  [18903] ,"Human Resources, 60 Lincoln Center Plaza, New York, NY 10023",http://www.juilliard.edu,
" U of Arkansas, Little Rock",Assistant Professor - R97278  [18893] ,"Rhetoric & Writing, 2801 S University, Little Rock, AR 72204",http://ualr.edu,
Foothill College,English Instructor  [18920] ,"Lang Arts Div, 12345 El Monte Rd, Los Altos Hills, CA 94022",http://apptrkr.com/333995,
 Monmouth C,Two-Year Assistant Professor - British Literature  [18908],"English, 700 E Broadway, Monmouth, IL 61462",http://www.monmouthcollege.edu,
Oklahoma SU,"Visiting Assistant Professor–Composition, Technical Writing and/or Undergraduate Literature  [18919] ","English, 205 Morrill Hall, Stillwater, OK 74078",http://english.okstate.edu,
" U of Missouri, Kansas City",Assistant Teaching Professor/Coordinator of Writing Assessment  [18907] ,"English, 5121 Rockhill Rd, 106 Cockefair Hall, Kansas City, MO 64110",http://www.umkc.edu/,
"U of Nevada, Reno","Lecturer, English  [18909] ","English, Reno, NV 89557",http://www.unr.edu,
U of the Pacific,Visiting Assistant Professor  [18905] ,"English, 3601 Pacific Av, Stockton, CA 95211",http://english.pacific.edu/,
 Roger Williams U,Visiting Assistant Professor of Writing Studies  [18929] ,"For Langs, 1 Old Ferry Rd, Bristol, RI 02809",http://www.Click2Apply.net/kkgqycy,
 Southwestern Oklahoma SU,Assistant/Associate Professor; Tenure-Track  [18927] ,"Lang & Lit, 100 Campus Dr, Weatherford, OK 73096",http://www.swosu.edu,
 Misericordia U,Assistant Professor - English  [18938] ,"English, 301 Lake St, Dallas, PA 18612",http://www.misericordia.edu,
 U of Massachusetts,"Deputy Director, Writing Program  [18943] ","Writing Program, 181 Presidents Drive, Amherst, MA 01003 ",https://secure.interfolio.com/apply/21543,
" U of Minnesota, Duluth",Instructor/Assistant Professor of Writing Studies  [18946] ,"Writing Studies, 1201 Ordean Ct, 420 Hum, Duluth, MN 55812",http://www.d.umn.edu/writ,
Skidmore C,Two Visiting Assistant Professors  [18967] ,"English, 815 N Broadway, Saratoga Springs, NY 12866",http://careers.skidmore.edu/applicants/Central?quickFind=54890,
Temple U,Assistant Professor  [18972] ,"English, Anderson Hall, 10th Fl 1114 W Polett Walk, Philadelphia, PA 19122",http://www.temple.edu/english,
U of Maryland,Visiting Assistant Professor – Academic Writing  [18973] ,"English, 2119 Tawes Hall, College Park, MD 20742",https://www.english.umd.edu/,
Ball State University,Contract Faculty Position  [18988] ,"English, 2000 W University Av Robert Bell 297, Muncie, IN 47306",http://www.bsu.edu/hrs/jobpostings,
Ball State University,Contract Faculty Position  [18989] ,"English, 2000 W University Av Robert Bell 297, Muncie, IN 47306",http://www.bsu.edu/hrs/jobpostings,
 Molloy C,Assistant Professor of English  [18980] ,"English, PO Box 5002, 1000 Hempstead Av, Rockville Centre, NY 11571",http://www.molloy.edu,
New York U,DIRECTOR  [18976] ,"English, 19 Univ Pl, Rm 503, New York, NY 10003",http://english.as.nyu.edu,
 U of South Alabama,Instructor  [18992] ,"English, 307 University Blvd, HUMB 240, Mobile, AL 36688",http://www.southalabama.edu,
 U of the Arts,Instructor of First Year Writing  [18981] ,"Lib Arts Div, 320 S Broad St, Philadelphia, PA 19102",http://uarts.edu,
" SU of New York, U at Albany",Lecturers- Writing and Critical Inquiry  [18978] ,"Office of the Vice Provost for Undergraduate Education, Lecture Center 30 1400 Washington Ave, Albany, NY 12222",http://albany.interviewexchange.com/jobofferdetails.jsp?JOBID=39379,
Fitchburg SU,Assistant Professor/British & World Literature/One Year Temp  [19002] ,"English, 160 Pearl St, Fitchburg, MA 01420",http://www.fitchburgstate.edu/humanres,
U of Dayton,"Full-Time Lecturer in English: Composition  [19009] 

","English, 300 College Park, Dayton, OH 45469",http://www.udayton.edu,
Ball SU,Contract Faculty Position/Composition  [19013] ,"English, 2000 W University Av Robert Bell 297, Muncie, IN 47306",http://www.bsu.edu,
"Penn State U, Erie, Behrend C",Lecturer in English  [19022] ,"Humanities & Social Sciences, 4701 College Dr, Erie, PA 16563",http://psbehrend.psu.edu/school-of-humanities-social-sciences/resources-for/prospective-faculty-staff,
 Texas A&M U,Lecturer  [19023] ,"English, 4227 TAMU, College Station, TX 77843",http://www.english.tamu.edu,
Ohio University,Visiting Lecturer of Linguistics and English [19072],"Linguistics, 383 Gordy Brown, Athens, OH, 45701",Http://linguistics.ohio.edu/ELIP,
