Institution,Position,Address,URL
"SU of New York, C at Cortland",Coordinator of the Writing Center  [34545] ,"Cortland, NY 13045",https://jobs.cortland.edu/postings/2653
Pittsburg SU,Full Time Temporary Instructor in English and Modern Languages  [34605],"Pittsburg, KS 66762 ",https://www.pittstate.edu/hr/jobs/index.html
Quinnipiac U,Assistant Teaching Professor of English  [34608] ,"Hamden, CT 06518",http://career.qu.edu/cw/en-us/job/492711/fulltime-teaching-faculty-englishfirstyear-writing
Saint Mary's U of Minnesota,Assistant Professor of English  [34485],"Winona, MN 55987",https://www.smumn.edu/careers
"U of Texas, El Paso",Open-Rank Position in Rhetoric and Writing Studies  [34566] ,"El Paso, TX 79968",https://www.utep.edu/human-resources/services/employment/
Palomar College,"Assistant Professor, English (Two Positions)  [34727] ","San Marcos, CA 92069",https://palomar.peopleadmin.com/postings/20080
Shenandoah University,Assistant/Associate Professor of English and Writing  [34663] ,"Winchester, VA 22601",https://www.su.edu/job/assistant-associate-professor-of-english-and-writing/
U of San Francisco,Dissertation Fellowship: Gerardo Marin Diversity Fellowship 2019-2020  [34686] ,"San Francisco, CA 94117",https://www.usfjobs.com/postings/15049
Xavier University,Teaching Professor of English  [34604] ,"Cincinnati, OH 45207",https://apply.interfolio.com/58714
American U of Kuwait,Faculty Openings AY2019-2020  [34823] ,"Safat, 01 KW 00965",https://apply.interfolio.com/59058
Colorado SU,Assistant Professor of English in Rhetoric of Science  [34764] ,"Fort Collins, CO 80523",https://jobs.colostate.edu/postings/63105
Stanford U,"Lecturer, Stanford Storytelling Project  [34844] ","Stanford, CA 94305 ",http://apptrkr.com/get_redirect.php?id=1355564
"U of Washington, Tacoma",Assistant Professor of Rhetoric and Composition  [34804] ,"Tacoma, WA 98402",https://apply.interfolio.com/58212
Contra Costa Comm Coll District,English Assistant Professor  [34865] ,"Martinez, CA 94553 ",https://www.4cdcareers.net/postings/5770
"Penn State U, Berks",Assistant Professor of Digital Humanities  [34867] ,"Reading, PA 19610",http://apptrkr.com/get_redirect.php?id=1346950
Washington State University,Clinical Assistant Professor  – Web and Interactive Design and Development [rhetmap 15],"Pullman, WA 99164",https://www.wsujobs.com/postings/41539
Florida International University,Writing and Rhetoric Instructor (2 Positions) [rhetmap 16],"Miami, FL 33174","https://pslinks.fiu.edu/psc/jobs/CUSTOMER/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_CAREERS_FL&Action=U&FOCUS=Applicant&SiteId=1000	
"
Indiana Tech ,Assistant/Associate Professor of English [rhetmap 17],"Fort Wayne, IN 46803","https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=16469&clientkey=9B7DD7DDF4B46DE388E0D590C86BBE1D	
"
Augustana U,Assistant or Associate Professor of English  [35027] ,"Sioux Falls, SD 57197 ",https://apply.interfolio.com/59405
Georgia Inst of Tech,"Marion L. Brittain Postdoctoral Fellowship Composition, Business/Technical Communication, and Digit  [35003] ","Atlanta, GA 30332",https://apply.interfolio.com/59408
Indiana SU,Assistant Professor of English—Technical Writing  [35026] ,"Terre Haute, IN 47809",https://jobs.indstate.edu/
Phillips Academy,INSTRUCTOR IN ENGLISH  [35024] ,"Andover, ME 01810",https://www.andover.edu/employment
U of Tampa,Professor of Instruction of English and Writing  [35066] ,"Tampa, FL 33606",http://www.ut.edu/jobs/
Arkansas State University,Assistant Professor of English: STEM Writing and rhetoric [rhetmap 18],"Jonesboro, Arkansas 72401","https://chj.tbe.taleo.net/chj05/ats/careers/v2/viewRequisition?org=ARKASTAT2&cws=40&rid=23756	
"
Augusta U,Lecturer in College Composition  [35183] ,"Augusta, GA 30912",https://apply.interfolio.com/59674
Dartmouth C,Postdoctoral Fellow in Scientific Communication  [35104] ,"Hanover, NH 03755",https://apply.interfolio.com/59478
Law School Admissions Council,Test Developers – 2 Positions: Reading Comprehension Focus & General Focus  [35083] ,"Newtown, PA 18940",https://apply.interfolio.com/59673
Michigan Tech U,Visiting Assistant Professor of Professional and Technical Communication  [35123],"Houghton, MI 49931",https://www.jobs.mtu.edu/postings/7591
MiraCosta C,English Instructor - with Developmental Expertise 2019  [35106] ,"Oceanside, CA 92056",https://jobs.miracosta.edu/applicants/jsp/shared/ReloadFrame.jsp?time=1547841155146
U of Maine,Assistant Professor of Professional & Technical Writing  [35132] ,"Orono, ME 04469",https://umaine.hiretouch.com/
U of San Diego,Professor of Practice and Writing Program Assistant Director  [35130] ,"San Diego, CA 92110",http://apptrkr.com/get_redirect.php?id=1370294
Monmouth C,Coordinator of Communication Across the Curriculum Program  [35243] ,"Monmouth, IL 61462",https://apply.interfolio.com/59864
Towson University ,"Assistant Director for Faculty Outreach, Writing Center [rhetmap 19]","Towson, MD 21252",https://towson.taleo.net/careersection/ex/jobsearch.ftl
Fairfield U,"Assistant Professors of the Practice, Core Writing  [35384] ","Fairfield, CT 06824",https://ffd.wd1.myworkdayjobs.com/en-US/EmploymentOpportunities/job/Fairfield-CT/Assistant-Professor
Stephen F Austin SU,assistant professor of rhetoric and composition  [35344] ,"Nacogdoches, TX 75962",https://careers.sfasu.edu/
Stephen F Austin SU,assistant professor position in technical and professional writing  [35346] ,"Nacogdoches, TX 75962",https://careers.sfasu.edu/
US Air Force Academy,Assistant Professor of English and Music  [35324],"USAF Academy, CO 80840",https://www.usajobs.gov/
U of Georgia,Director of Writing Center  [35486] ,"Athens, GA 30602",https://www.ugajobsearch.com/postings
"U of South Carolina, Columbia",Writing Center Director--Instructor  [35443] ,"Columbia, SC 29208",https://uscjobs.sc.edu/postings/51072
Central Connecticut SU,Assistant Professor - Developmental Writing Specialist  [35423] ,"New Britain, CT 06050",http://www.ccsu.edu/hr/jobopportunities.html
Georgia Inst of Tech,Director of Technical Communication  [35523] ,"North Ave, Atlanta, GA 30332",https://academicjobsonline.org/ajo/jobs/13174
New Mexico Military Inst,High School/Junior College English Professor  [35463] ,"Roswell, NM 88201",https://apply.interfolio.com/60287
Prairie View A&M U,Assistant Professor of English (Specializing in Composition)  [35483] ,"Prairie View, TX 77446",https://tamus.wd1.myworkdayjobs.com/PVAMU_External
Defiance College,Assistant Professor of English [rhetmap 20],"Defiance, OH 43512",http://www.defiance.edu/information/employment.html
U of Alabama ,Multi-year Contract Instructor Positions  [35524],"Tuscaloosa, AL 35487",https://facultyjobs.ua.edu/postings/44543
Auburn U,Postdoctoral Teaching Fellow  [35685] ,"Auburn University, AL 36849 ",https://aufacultypositions.peopleadmin.com/
California Baptist U,English - Writing Center Director  [35733],"Riverside, CA 92504",https://jobs.calbaptist.edu/postings/4571
Northeastern U,Assistant or Associate Teaching Professor of Writing  [35628],"Boston, MA 02115",https://neu.peopleadmin.com/postings/59696
Rutgers U,Director of the Rutgers English Language Institute  [35703] ,"New Brunswick, NJ 08901",https://wp.rutgers.edu/jobs
Rutgers U,Writing Program Teaching Instructor  [35724],"New Brunswick, NJ 08901",https://wp.rutgers.edu/jobs
"SU of New York, U at Buffalo","Clinical Assistant Professor, English  [35687] ","Buffalo, NY 14260",https://www.ubjobs.buffalo.edu/postings/18512
"U of Texas, Austin",Director of Undergraduate Creative Writing & Sr. Lecturer [35692],"Austin, TX 78712",https://apply.interfolio.com/60174
Valdosta SU,"Assistant Professor, First Year Writing Coordinator  [35683] ","Valdosta, GA 31698",https://valdosta.peopleadmin.com/postings/17988
Columbia U,Lecturer in Discipline (limited-term UWP lectureship)  [35744] ,"New York, NY 10027",https://pa334.peopleadmin.com/postings/2558
Maynooth U Ireland,Lecturer/Assistant Lecturer in Critical Skills (Digital Writing and Communication)  [35863] ,"County Kildare, Maynooth Ireland ",https://www.maynoothuniversity.ie/human-resources/vacancies
Rutgers U,Executive Director of the Writing Program  [35807] ,"New Brunswick, NJ 08901",https://jobs.rutgers.edu/postings/85182
"U of Cincinnati, Blue Ash C",Visiting Assistant Professor of English @UC Blue Ash  [35806] ,"Blue Ash, OH 45236",https://jobs.uc.edu/job/Cincinnati-Visiting-Assistant-Professor-of-English-@UC-Blue-Ash-OH-45201/538761700/?utm_campaign=MLA
